doc_id,optimal_k
doc_lemma_1gram_10lt,12
doc_lemma_1gram_1lt,18
doc_lemma_2gram_10lt,16
doc_lemma_2gram_1lt,17
doc_none_1gram_10lt,19
doc_none_1gram_1lt,25
doc_none_2gram_10lt,12
doc_none_2gram_1lt,13
doc_stem_1gram_10lt,22
doc_stem_1gram_1lt,20
doc_stem_2gram_10lt,20
doc_stem_2gram_1lt,20
page_lemma_1gram_10lt,15
page_lemma_1gram_1lt,19
page_lemma_2gram_10lt,15
page_lemma_2gram_1lt,13
page_none_1gram_10lt,8
page_none_1gram_1lt,12
page_none_2gram_10lt,10
page_none_2gram_10lt,11
page_none_2gram_10lt,21
page_none_2gram_10lt,20
page_none_2gram_10lt,22
page_none_2gram_1lt,8
page_none_2gram_1lt,13
page_none_2gram_1lt,27
page_none_2gram_1lt,37
page_none_2gram_1lt,74
page_stem_1gram_10lt,19
page_stem_1gram_1lt,16
page_stem_2gram_10lt,12
page_stem_2gram_10lt,7
page_stem_2gram_1lt,10
page_stem_2gram_1lt,11
page_stem_2gram_1lt,27
paragraph_lemma_1gram_10lt,9
paragraph_lemma_1gram_1lt,9
paragraph_lemma_2gram_10lt,11
paragraph_lemma_2gram_1lt,6
paragraph_lemma_2gram_1lt,11
paragraph_none_1gram_10lt,14
paragraph_none_1gram_1lt,5
paragraph_none_2gram_10lt,13
paragraph_none_2gram_1lt,8
paragraph_stem_1gram_10lt,15
paragraph_stem_1gram_10lt,10
paragraph_stem_1gram_10lt,11
paragraph_stem_1gram_1lt,6
paragraph_stem_2gram_10lt,14
paragraph_stem_2gram_1lt,5
