doc_vocab_id,optimal_k,unit,trunc,ngram,lt,model_id,k_group
doc_lemma_1gram_1lt,18,doc,lemma,1,1,doc_lemma_1gram_1lt_18k,around20
doc_none_1gram_10lt,19,doc,none,1,10,doc_none_1gram_10lt_19k,around20
doc_stem_1gram_1lt,20,doc,stem,1,1,doc_stem_1gram_1lt_20k,around20
page_lemma_2gram_1lt,13,page,lemma,2,1,page_lemma_2gram_1lt_13k,around10
page_none_1gram_10lt,8,page,none,1,10,page_none_1gram_10lt_8k,around10
page_none_2gram_10lt,10,page,none,2,10,page_none_2gram_10lt_10k,around10
page_none_2gram_10lt,11,page,none,2,10,page_none_2gram_10lt_11k,around10
page_none_2gram_10lt,21,page,none,2,10,page_none_2gram_10lt_21k,around20
page_none_2gram_10lt,20,page,none,2,10,page_none_2gram_10lt_20k,around20
page_none_2gram_10lt,22,page,none,2,10,page_none_2gram_10lt_22k,around20
page_none_2gram_1lt,8,page,none,2,1,page_none_2gram_1lt_8k,around10
page_none_2gram_1lt,13,page,none,2,1,page_none_2gram_1lt_13k,around10
page_none_2gram_1lt,27,page,none,2,1,page_none_2gram_1lt_27k,other_k
page_none_2gram_1lt,37,page,none,2,1,page_none_2gram_1lt_37k,other_k
page_none_2gram_1lt,74,page,none,2,1,page_none_2gram_1lt_74k,other_k
page_stem_2gram_1lt,10,page,stem,2,1,page_stem_2gram_1lt_10k,around10
page_stem_2gram_1lt,11,page,stem,2,1,page_stem_2gram_1lt_11k,around10
page_stem_2gram_1lt,27,page,stem,2,1,page_stem_2gram_1lt_27k,other_k
paragraph_lemma_2gram_1lt,6,paragraph,lemma,2,1,paragraph_lemma_2gram_1lt_6k,other_k
paragraph_lemma_2gram_1lt,11,paragraph,lemma,2,1,paragraph_lemma_2gram_1lt_11k,around10
paragraph_none_1gram_1lt,5,paragraph,none,1,1,paragraph_none_1gram_1lt_5k,other_k
paragraph_stem_1gram_10lt,15,paragraph,stem,1,10,paragraph_stem_1gram_10lt_15k,other_k
paragraph_stem_1gram_10lt,10,paragraph,stem,1,10,paragraph_stem_1gram_10lt_10k,around10
paragraph_stem_1gram_10lt,11,paragraph,stem,1,10,paragraph_stem_1gram_10lt_11k,around10
